
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
白苔 白苔 白色的舌苔。是人的一种基本舌苔。正常人舌苔薄白而匀净。病理性白苔为表、风、寒、湿的证候之一。若苔薄白多津为内有寒湿，或外感风寒。若薄白而干，多为外感化热而伤津。若苔厚而滑，多为内有湿浊，或外感寒邪引动内湿。若苔厚白而干，为热伤津液、湿浊不化。若苔白而粘腻，为内有痰饮湿浊。白苔是临床最常见的一种舌苔。其它颜色的舌苔多由白苔转化而来。
白秃疮 白秃疮 即头癣、白癣。愈后毛发可再生。
白屑风 白屑风 多发于头部，因有白屑脱落，故名。是一种皮脂溢出的基础上产生的慢性皮肤炎症上。多见于青壮年男性，其次为婴儿。可分干湿二种。干性者呈糠秕样脱屑，皮肤潮红瘙痒。湿性者皮肤常有小丘疹，渗液或结痂。
白眼 白眼 ①即白睛。②即白涩证。
白淫 白淫 ①指男子尿中带精液和女子带下病。②指滑精。《证治要诀＝遗精》：“耳闻目见，其精即出，名曰白淫。”
白饮 白饮 米汤。
白游风 白游风 即游风的白色者。
白疹 白疹 即白培。
白珠 白珠 即白睛。
白浊 白浊 ①指小便色白混浊。②指尿道口常滴出白色浊物，并伴小便涩痛。
白癞 白癞 病名。出《诸病源候论》。初起皮色逐渐变白，四肢顽麻，肢节发热，撑竿跳无力，患部肌肉针刺样疼痛，声音嘶哑，两眼视物不清。
百晬咳 百晬咳 为百日咳之讹。指婴儿百日内发生的咳嗽。亦称“乳咳”。
百病皆生于气 百病皆生于气 古人认为许多疾病的发生与“气”的变化有关。气的变化与七情是分不开的。《素问·举痛论》：“百病生于气也，怒则气上，喜则气缓，悲则气消，恐则气下，寒则气收，炅则气泄，惊则气乱，劳则气耗，思则气结。”由此可见，精神情志的活动对气的影响是很大的，也是许多疾病的致病因素。
百骸 百骸 泛指人体的骨骼。骸，指骨。
百合病 百合病 其症状为精神抑郁，想食不能食，思卧不能卧，欲走不能走，身上常见热而不热，身上感冷而不冷，以及行为错舛，语言谎诞等不能用器质性疾病解释的现象。参见《金匮要略》。
百节 百节 泛指人体的关节。
百日咳 百日咳 又有“顿咳”，“疫咳”，“痉咳”，“鹭鹚咳”，“鸡咳”之称。是一种流行冬春季节的婴幼儿疫证。临床上以阵发性、痉挛性咳嗽为其特点。常伴有特殊的吸气回声。故被称之为“鸡咳”、“鹭鹚咳”。
百疴 百疴 种种疾病。“百”，言多，系虚指。
扳法 扳法 推拿手法。即扳动肢体，使关节伸展或旋转活动。有舒展筋脉、滑利关节、松解粘连、帮助复位等作用。
板 板 相当于跖趾关节下面的足掌。俗称“脚底板”．
板齿 板齿 又名门齿．即口前之切牙。
板牙 板牙 ①门齿。②病证名．新生儿齿龈粘膜下的白色斑块．
版 版 即板门，推拿穴位名，也称版门．
版门 版门 即板门。
拌 拌 部分药物需用其它药物拌渍的叫“拌”。如朱砂拌、青黛拌乳汁拌、猪心血拌等。
