
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
伤湿 伤湿 为湿邪所伤而引起的疾病。
伤湿咳嗽 伤湿咳嗽 即湿咳。见《症因脉治·卷二》。
伤湿腰痛 伤湿腰痛 腰痛之一。见《证治准绳》。指受潮湿和寒冷的侵袭引起的腰痛。但可有挟风、挟寒、挟热的不同，因而有不同的临床表现。
伤湿自汗 伤湿自汗 证名。见《三因极一病证方论·自汗证治》。为湿邪阻遏所致。表现为自汗恶风，声音重浊，身重体倦，关节疼捕，阴天加重等。
伤食 伤食 见《丹溪心法》；由于饮食不当引起的脾胃症状。表现为食欲不振，脘腹闷胀，吞酸嗳腐，腹痛腹泻，大便酸臭，气如败卵，舌苔浊腻等。
伤食头痛 伤食头痛 头痛的一种。见《证治要诀·头痛》．是饮食停滞脾胃所致的头痛。表现为头痛，胸脘满闷，嗳腐吞酸，厌食，兼或有发热、脉滑实等症。
伤食泻 伤食泻 病名。见《丹溪心法·泄泻》。也称食泄或食泻。指饮食不节引起的腹泻。
伤暑 伤暑 病名。又称感暑、冒暑．是夏季外感暑令之邪引起的外感热证。表现为壮热多汗，心烦口渴，气粗(促)肢懒，小便短赤等阳明经证。
伤暑咳嗽 伤暑咳嗽 即暑咳．见《症因脉治·卷二》
伤血 伤血 证名。指外伤后瘀血和失血产生的一类病证。
伤阳 伤阳 即阳气受损。常见的原因有四：①过用苦寒药；②汗、下过甚；③寒邪直中，或内寒阴气偏胜；④暴喜引起心神浮越，心悸，失眠，精神恍惚等症状也可伤阳。
伤阴 伤阴 即真阴耗损。阳气偏亢，内灼阴液或伤津的进一步发展均可导致伤阴。表现为低热，手足心热，神倦，消瘦，口干舌燥等症状。
伤脏腑 伤脏腑 指外伤引起的内脏损伤。多为危急重症；
伤枣指掌 伤枣指掌 书名。清·吴坤安撰于1796年。其中所论之“伤寒”，包括温热二类，条理清楚，论述也有独到之处。后来邵仙根又根据临床经验增写评语。今有排印本问世．
伤燥咳嗽 伤燥咳嗽 咳嗽的一种。见《症因脉治·卷二》。指因外感燥气耗伤肺津所致的咳嗽，多表现有燥热证候。应注意，根据近年来研究，单纯燥咳极为少见，不要冒然下诊断，应注意排除结核、支气管癌症的早期表现。以免延误治疗。
上胞下垂 上胞下垂 又名睑废。即上眼睑下垂，多由脾虚气弱，脉络失和引起，表现为上睑下垂，上举无力，睁不开眼。
上病下取 上病下取 是一种与病气上下相反的治法。《素问·五常政大论》：“气反者，病在上，取之下。”指病证的部位、表现偏于上，从临床主证所在部位以下的脏腑或体表，用药物或针灸进行治疗。
上膊 上膊 今称肱部。
上丹田 上丹田 解剖部位，在两眉间。
上附上 上附上 诊脉部位。即两手寸部脉。见《素问·脉要精微论》。
上工 上工 医术高明的医生。
上工、中工、下工 上工、中工、下工 按医术高低将医生分为上、中、下三等。
上宫 上宫 ①以上属宫音之意。②人类气质的分类。。。《灵枢·阴阳二十五人》：“土形之人，比于上宫”。
上管 上管 即上脘。也就是胃的上口，管通脘。
上含 上含 玉堂之别名。
上寒下热 上寒下热 机体内同时存在着寒、热两种证候。如上有痰饮、喘咳的寒证，下有淋漓、疼痛的热证等。
上横骨 上横骨 指胸骨柄的切迹处，外侧连及锁骨。
上纪 上纪 胃脘。
上焦如雾 上焦如雾 “雾”的形容蒸发之气如雾一样的弥散。“上焦如雾”主要指心肺的输布功能。上焦心肺能将水谷的精气和吸入这清气输布于全身，供各器官和组织的需要。这种功能象“雾”一样均匀地灌布到全身各处。
上焦主纳 上焦主纳 “纳”主要指空气和食物的进入。因为呼吸之清气和食物水分都是分别通过上部的鼻、气管达入肺、口、食道达入胃的。故名。
上角 上角 ①声音的属类。②人类气质的分类。《灵枢·阴阳二十五人》：“木形之人，比于上角”。
上马痈、下马痈 上马痈、下马痈 生于肛门右侧的脓肿叫“上马痈”；生于左侧的叫“下马痈”。
上气 上气 气逆上喘。即呼气性呼吸困难。
上窍 上窍 指头面的孔窍。即七窍。
上取 上取 即从上施治。多指病下病上取，或指吐法。《灵枢·卫气失常》：“其气积于有中者，上取之。”
上热下寒 上热下寒 机体同时存在着寒热两种证候，上部见热证，下部见寒证。如上有咽喉疼痛、吐黄痰、咯血等热证，下有大便溏泄、小便清长等寒证。
上盛 上盛 ①人体上部邪气盛。②人迎脉浮盛。
上石疽 上石疽 生于颈项两侧坚硬而痛肿块。
上实下虚 上实下虚 指虚实并见的综合征候。表现为上有头痛、喘咳、咯痰等实证，一肯腹痛，大便溏等虚证。
上损及下 上损及下 上部脏腑病变向下部脏腑发展的一种病理变化。
上微头小 上微头小 寸脉微小。
上为引如怀 上为引如怀 病从上部牵引少腹部，如怀孕状。
上下相召 上下相召 上下指天地。“上下相召”即天地阴阳之气相互感召。见《素问·天元纪大论》。
上下眼丹 上下眼丹 病名。出《疡医大全》。又名眼丹。整个眼睑红肿，硬结拒按，常拌有寒热头痛等症状，严重者可引起眶内感染。
上下至头足 上下至头足 从头到脚。
上消 上消 消渴的一种，以口渴大量饮水为其特点，表现为烦渴多饮，口干舌燥，尿频量多，舌边尖红、苔薄黄，脉洪数。
上泄 上泄 厥逆之气上越的症状。
上虚下实 上虚下实 是一种虚实并见的综合证，如上有怔忡心悸等虚证，下有湿热腹痛，下利脓血等实证。
上医 上医 大医。医术高明的医生，《千金方》：“古之医者，上医医国，中医医人，下医医病；上医听声，中医察色，下医诊脉；上医医未病，中医医欲病，下医医已病。”
上正 上正 运气术语。司天之正位。
上厥上竭 上厥上竭 ①指阳气厥逆于下，阴血衰竭于上。②由于下焦虚产生厥逆，称下厥；血从口鼻而出造成衰竭，称上竭。③《伤寒论》中记述的一种对少阴病误用汗法引起的一种危险合并症。
上厥下竭 上厥下竭 即突然昏倒伴有四肢厥冷的一组证候群。
上脘 上脘 ①胃之贲门部。②穴位名，在脐上正中五寸处。
上膈 上膈 指阻膈的部位在上部。所以，食后随即吐出。多为食道、磺门部位产生的各种梗阻，膈与隔通。
上髎 上髎 髎，关节。上髎即整复脱位的关节。
尚论篇 尚论篇 《尚论张仲景伤寒论重编三百九十七法》的简称。明。喻昌(嘉言)著。本书四卷，合《尚论后篇》共八卷。在方氏《伤寒论条辨》的基础上加以发挥，颇有条理。《尚论后篇》内容包括温病，合论、真中、小儿、会讲、问答、六经诸方。其看法大抵遵循着方氏(有执)，但有所发挥，对后世影响反较方氏为大。
少腹 少腹 脐以下的部分，也叫小腹。另一说法是，脐以称小腹，脐两旁称少腹。
少腹拘急 少腹拘急 证名。出《金匮要略＝血痹虚劳病脉证并治》。指病人自觉脐下部有拘挛急迫的情况。
少腹如扇 少腹如扇 出《金匮要略》。指在妊娠七八个月时，孕妇少腹象扇子搧的一样发凉，同时伴有脉弦、发热、胎胞胀满、腹痛恶寒等症。这是由于胞宫畏寒，阳气被遏，不能温养胚胎所致。
少腹硬满 少腹硬满 瘀血与邪热互结阻滞少腹部，或膀胱气化失常，水停下焦所致之少腹坚硬胀满的病证。前者为蓄血证，后者为蓄水证。其辨要点：小便利者为蓄血证，小便不利者蓄水证。
少宫 少宫 ①“土气”不及的现象。②与少角同。宫，五音之一。
少火 少火 《素问＝阴阳应象大论》：“少火之气壮。”这里的火指运化气血的机能。少火，指火势不亢不衰，民、恰如其分，是维持人体正常生理功能所必须。
少角 少角 ①“木气”不及的现象。②与“判商”同。角，五音之一。
少理 少理 细的皱纹。
少气 少气 证名。出《素问＝玉机真藏论》。指言语无力，呼吸微弱短促，多为五脏气虚，尤以肺气虚损，中气不足，肾气亏耗为多见。也有因痰浊、水饮、食滞或气机阻滞而表现为少气的。
少商 少商 ①“金气”不及的现象。②穴位名。商，五音之一。
少商之人 少商之人 气质分类偏于“少商”的人。见《灵枢·阴阳二十五人》。
少师 少师 相传为黄帝的臣子，在《内经》中与黄帝有有关运气方面的问答。
少小客忤 少小客忤 即小儿客忤。
少阳 少阳 ①经脉名称之一。包括手少阳三焦和足少阳胆二经。少阳有阳气减少的含义。少阳经处于人身的半表半里，在太阳、阳明月之间，是外邪内鋕、内邪外透的枢纽。所以有“少阳为枢”之说。②少阳经通常是少血多气的经脉，针刺治疗，可以出气，不可出血。③在运气上，少阳又是六气之一，是相火的代表名称。
少阳病 少阳病 六经病之一。正邪相争深入表而未达里，所以又称“半表半里”证。表现为口苦咽干，目眩，往来寒热，胸胁苦满，不欲进食，心烦喜呕，苔白滑，脉弦。参见半表半里条。小柴胡汤为其代表治疗方剂。
少阳不迁正 少阳不迁正 运气术语。指“相火”不迁居正位。即火热不按季节到达的气候异常现象。
少阳不退位 少阳不退位 运气术语。指“相火”不退避正位。即气候火热，该寒不寒的异常现象。
少阳腑病 少阳腑病 六经辩证术语。指少阳病热郁胆府的证候。如口苦、咽干、胸闷呕吐等。属小柴胡汤的主治范围。
少阳经病 少阳经病 六经辩证术语。指少阳病由热郁而产生胸胁苦满，往来寒热，心烦、胁痛等症　。热邪尚未入于里，小柴胡汤主之。
少阳司天 少阳司天 运气术语。特指“五寅五申”这一年。
少阳头痛 少阳头痛 头痛类型之一。①指伤寒少阳头痛。也《兰室密藏》。主要表现为往来寒热，脉弦细，宜用小柴胡汤。②指头痛而在少阳经脉循行范围者。出《冷庐医话＝头痛》。其痛表现在两羱　角或颞部。用柴胡作引经药。
少阳在泉 少阳在泉 运气术语。特指“五巳五亥”这一年。
少阳之复 少阳之复 “热气”致病对机体施行报复的一种病理现象。
少阳之客 少阳之客 运气术语。“少阳司天”时的客气。
少阳之人 少阳之人 按气质分类偏于“少阳”的人。《灵枢·通天》：“少阳之人，是谛好自贵，有小小官高自宜，好为外交而不内附。”
少阳之胜 少阳之胜 “火气”先施的一种病理现象。
少阴 少阴 ①经脉名称之一。包括手少阴心、足少阴肾二经。。少阴有阴气减少的含义。因它处于太阴、厥阴之间，是病邪在三阴经中内传外达的枢纽。所以有“少阴为枢”的说法。②少阴经通常是少血多气的经脉，在针刺治疗上，可以出气，不可出血。③运气上代表君火。
少阴病 少阴病 六经病之一。其订症状为精神不振，嗜睡，脉象微细。由于少阴是阴的表阳，既可以从阴化寒　，又可以从阳化热，故有寒化和热化两种类型，寒化的症状为无热恶寒，脉微细，嗜睡，用四逆汤治之；热化的症状为心烦不得卧，口燥咽干，舌尖红，下利，咳嗽等，黄连阿胶汤主之。
少阴不迁正 少阴不迁正 运气术语。指“君火”不迁居正位。即该暖不暖的春寒气候。
少阴不退位 少阴不退位 运气术语。指“君火”不退避正位。指该寒不寒的冬暖气候。
少阴三急下 少阴三急下 指急性少阴热病阴液耗伤，又见阳明燥实内结的三种急下证。《伤寒论＝辨少阴病脉证并治》：“少阴病六七日，腹胀不大便者，急下之，宜大承气汤”；“少阴病，自利清水，色纯清，心下必痛，口干燥者，可下之，宜大承气汤”；“少阴病，得之二三日，口燥咽干者，急下之，宜大承气汤”。简而方之，少阴三急下是指“伤寒”证中三种用大承气汤治疗少阴经病。
少阴司天 少阴司天 运气术语。特指“五子五午”这一年。
少阴头痛 少阴头痛 头痛类型之一。出《兰室密藏》。因寒邪　侵犯少阴所致。表现为头痛，足寒气逆，心痛烦闷，脉沉细。治宜温经散寒。
少阴在泉 少阴在泉 运气术语、特指“五卯五酉”这一年。
少阴之复 少阴之复 指“火气”致病时对人体报复的一种病理现象。
少阴之客 少阴之客 运气术语。指“少阴司天”时的客气。
少阴之人 少阴之人 气质偏于：阴：的人。见《灵枢·通天》。
少阴之胜 少阴之胜 “火气”先至的一种病理现象。
少俞 少俞 黄帝的臣子，在《内经》中与黄帝有有关运气方面的问答。
少羽 少羽 指“水气”不及的现象。
少壮人 少壮人 年龄处于少年和壮年阶段的人。
少徵 少徵 ①“火气”不及的现象。②与“少羽”同。徵，五音之一。
少徵之人 少徵之人 气质分类偏于“少徵”的人。见《灵枢·阴阳二十五人》。
舌 舌 又名灵根、心窍。能感受味觉，协助咀嚼食物和调节发音。观察舌的质、色、形态和舌苔，是中医望诊的重要内容之一。
舌傍 舌傍 即舌体之左右两侧。又称舌旁。
舌本 舌本 ①舌的根部。见《内经》。多数经脉皆络于此，因此它与各脏腑关系十分密切。②穴位名。即风府穴的别名。见《针灸甲乙经》。⑧廉泉穴的别名。见《针灸资生经》。
舌痹 舌痹 病证名。见《赤水玄珠》。指舌体麻木不仁，不辨五味的病证。
舌边 舌边 舌的两侧边缘，属肝胆．
舌颤 舌颤 指舌体外伸时不自主的振颤。多因气血两亏，血虚生风，或肝风内动，热极生风所致．高血压脑病及酒精中毒病人也可出现舌颤。
舌出 舌出 病证名。出《伤寒论》。即舌吐出口外而不能及时收回。多因心火炽盛，热病伤阴，胃气虚寒引起。
舌疮 舌疮 病证名。见《外台秘要》。又名红点舌、坐舌风。多因心胃积热或虚火上炎所致。
舌短 舌短 即舌缩。指舌体紧缩、不能伸出。
舌根 舌根 舌体靠近咽喉的部位．属肾。
舌根痈 舌根痈 即舔舌喉痈。
舌红 舌红 即舌质红。是舌的病色，主热证。
舌红痈 舌红痈 舌痈之一。指舌部痈之红肿明显者。
舌黄 舌黄 舌痈之—。占痈呈黄色，
舌黄风 舌黄风 舌痈之一。即舌痈之色发黄者。
舌尖 舌尖 舌的尖部，属心．
舌卷 舌卷 病证名。出《内经》．指舌卷曲不能伸。多因心火上炎’、肝经积热、热邪内馅心包所致。
舌卷囊缩 舌卷囊缩 证名。见《伤寒全生集》。舌卷，指舌体卷曲；囊缩，指阴囊上缩。为足厥阴肝经气绝证候。也可由邪热内灼或少阴虚寒引起。热性病的危重阶段，或严重的脑血管病可出现此证候。
舌菌 舌菌 病名。见《沈氏尊生书》。又称舌岩，即舌体的赘生物。由七情郁弓：心脾，化毒化火所致。表现为舌两侧有肿物，初起如豆，逐渐长大，头大蒂小，并向周围及深部蔓延，破溃后边缘突起，中间凹陷，久则基底坚脆，触之出血，痛不可忍。多不易治愈。
舌烂 舌烂 病证名。见《世医得效方》。又名烂舌边、舌本烂、烂边舌。多因肝胃湿热或心脾积热所致。相当于舌部溃疡、糜烂等．
舌裂 舌裂 证名。见《医学入门》．又名舌破。由心火上炎，阴液缺乏，营养不足所致。也有人认为是先天所得。表现为舌上有较深裂口，疼痛轻微，类似沟纹舌。
舌面如镜 舌面如镜 形容舌面无苔、光滑如镜。是舌粘膜乳头萎缩所引起。多见于肝肾真阴亏损的病人。
舌膜 舌膜 证名。指舌上因胃热上蒸，而起的白膜。多见于新生儿。
舌胖齿形 舌胖齿形 即齿痕舌。指舌体有被齿压的印痕。
舌起芒刺 舌起芒刺 即舌苔隆起如刺状。是邪热亢盛之象．芒刺愈多，邪热愈盛．舌尖有芒刺为心火亢盛；两侧有芒刺为肝胆火盛；舌中间有芒刺多为胃肠积热。
舌强 舌强 指舌体失去应有的柔和性，屈伸不利，转动不灵。多见于中风或流脑，乙脑的后遗症。
舌色 舌色 即舌质的颜色。正常舌质淡红而光润。舌质白，表示血虚、阳虚；舌质红，表示热在卫分、气分；舌质绛，表示热在营分、血兮；舌质紫在温病中表示热入蕾血，在杂病中则表示有痰血郁滞。
舌涩 舌涩 即舌謇。
舌上龟纹 舌上龟纹 病证名。见清·包永泰《喉科指掌》。多由心火旺盛，或虚火上炎所引起。表现为舌面发红光滑，有不规则的灰白色纹理，疼痛。常见于小儿，偶见于成人。类似慢性脱屑性舌炎。
舌上如苔 舌上如苔 舌上有苔之意。
舌上珠 舌上珠 指舌上生泡，类似于舌上粘液腺瘤。
舌神 舌神 舌诊内容之一。表现在舌质的荣枯上。荣是红润鲜明，活动灵活，表示津液足，生机好，谓之有神；枯是晦暗干瘪，灵活性差，表示津液枯竭，病情危重，
舌生泡 舌生泡 病证名。见《丹溪心法》。又名舌上珠；舌下珠、珍珠毒、连珠疳、口疳风。多由虚火上炎或心脾积热所致．类似舌各部大小不等的粘液腺瘤。
舌祟 舌祟 舌部炎症的一种。表现为舌部生疮、疼痛、流涎、影响食欲与说话。
舌笋 舌笋 病证名。见《串雅内篇》指小儿舌上起白泡，妨碍吮乳，此时小儿常啼哭不止。
舌缩 舌缩 病证名。出《干金要方》又称舌短，指舌突然缩短，不能言语。因寒凝胸腹或心脾积热所致。多见于中枢神经性疾病和支配舌肌运动的神经受损伤时。如两侧舌下神经损伤时，出现舌肌瘫痪、萎缩、纤颤、言语不清、饮食困难，甚至可引起呼吸困难。
舌胎 舌胎 即舌苔。
舌苔 舌苔 指舌面上的一层苔状物。正常舌苔白薄为胃气上蒸而成。中医观察舌苔多从颜色、厚薄、形状、分布、津液等方面进行，并把它们作为辨证的依据之一。一般说，白苔主表证、寒证；黄苔主里证、热证；灰黑苔多主热证，但也主寒证和虚证，多见于疾病的严重阶段
舌体 舌体 即舌质。
舌痛 舌痛 证名。多由舌部疾患，如舌痈、舌疮、舌碎裂等引起。
舌歪 舌歪 舌体偏歪于一侧，不正，病久者常伴舌萎缩。多因肝风内动，风邪中络所致。
舌系 舌系 舌底的经筋部。
舌下痰包 舌下痰包 即痰包。类似舌下粘液腺囊肿．
舌下珠 舌下珠 指舌下生泡。类似于舌下粘液腺瘤。
舌形 舌形 舌诊内容之一。主要观察舌的老嫩、芒刺、裂纹、胀瘪等。老属实证，嫩属虚证；芒刺主胃热炽盛或邪热内结；裂纹是热盛或血虚阴不足：薄瘦干瘪主心脾两虚、气血不足，肿胀则多为痰饮或湿热内结。
舌痈 舌痈 病名。见《沈氏尊生书》，多因心火炽盛，胃热熏蒸，化毒成脓所致。表现为舌头红肿，甚则成脓。类似舌部的急性化脓性感染。
舌胀大 舌胀大 有舌胖与舌肿两种含义。舌体胀大，舌质淡红，边有齿印，是脾肾阳虚，多为舌组织水肿，舌肌张力降低所致。舌体胀大红肿疼痛，是心脾有热，或心火上炎，多为舌部炎症。
舌针 舌针 是针刺舌部穴位的一种针刺疗法。按中医理论，舌尖属心，舌根属肾，舌左侧属肝，右侧属肺，中心属脾，故舌能反映脏腑的生理病理变化。脏腑的疾病，也能通过针刺舌部各有关穴位而得到治疗。施术前先用含嗽剂消毒口腔，然后选用一寸或一寸半毫针刺入选定的穴位2、3分深，有针感后，停针3、5分钟可起兴奋作用；停针10、15分钟，可起抑制作用。进针后，每隔1～3分钟轻弹针柄数次，可起兴奋作用；每隔5分钟弹针柄数下，可起抑制作用。一般以弹三次为限。也可采用速刺法。即有针感后，立即出针，出针后用消毒干棉球轻按针刺处，以防出血。
舌诊 舌诊 望诊的重要内容之一。即通过察看舌质和舌苔的形态，色泽、润燥等变化，辨别疾病的性质，推断病情的深浅轻重及判断疾病的转归与预后。
舌质 舌质 又称舌体，是舌的肌肉脉络组织。望舌质是舌诊的重要内容。多以舌尖候心肺，舌边侯肝胆，舌中候脾胃，舌根候肾，但不可机械，要注意结合其它情况综合考虑．望舌质主要是通过望舌质的形态、色泽、动态、湿度等以辨其荣枯者嫩。一般观察脏腑虚实重点是望舌质；察病邪的深浅与胃气的存亡，重点是望舌苔。也有“气病察苔。血病观质”之说。
舌中 舌中 即舌体的中心部分，属脾胃。
舌肿 舌肿 病证名。见《诸病源候论》。指舌体肿胀疼痛。多为心经火盛，痰浊瘀血滞于舌间所致。表现为舌头肿大疼痛，多见于舌炎、溃疡等病人。其中舌质淡者是脾肾阳虚所致。
舌柱 舌柱 即舌系带。
舌纵 舌纵 即伸舌。出《灵枢·寒热病》。
舌謇(检) 舌謇(检) 病证名。謇，言语不清。舌謇指因舌短、舌强而致言语不清。可见于中风或流脑、乙脑后遗症病人。
舌绛 舌绛 指舌体深红．为温病热邪传入营分的舌象。
舌疔 舌疔 病名。见《医宗金鉴》。指舌部所生的疔毒。多由内热、心经火毒所致。生舌上者名卷帘疗；生舌下者名鹌鹑疔、蝎虎疔；生舌根者名亦疗；生舌尖者名鱼鳞风。
舌疳 舌疳 舌部的急性溃疡。
舌疸 舌疸 九疸之一。病人多有口渴、便数等热象。治宜清心降火。
舌痿 舌痿 病证名。出《灵枢·经脉》。指舌肌软弱无力，转动不自如。多由筋脉失养所致。久病舌淡而痿是气血俱虚；舌绛而痿是阴亏过甚。新病舌红而痿，是热灼阴伤。
舌瘠 舌瘠 病证名。出《灵枢》．指各种原因引起的舌转动不灵、言语不清。如中风或其它疾病引起的语言謇塞等。
舌舐上腭 舌舐上腭 气功术语。也是练功的一种功法。古今有不少气功家主张在入静调息时舌舐上腭”，这可能是它能调节机体的某些功能。
舌衄 舌衄 病证名。见《景岳全书》。又名舌血。即舌体出血或渗血。由心经蕴热或脾肾二经虚火等引起。表现为舌上血如泉涌或舌上渗血。
舍脉从证 舍脉从证 指在临床辨证中，脉证不相符合时，采用以证为准的诊断方法。例如，平素气虚的人感冒，有头痛、身痛、恶寒、发热等外感证候，但由于风寒外束，气虚不能显浮脉，反而现沉细的脉象，就应当“舍脉从证”，治以辛温解表。
舍证从脉 舍证从脉 指在临床辨证中，脉、证不相符合时，采用以脉象为准的诊断方法。例如，外感热病，经发汗后，体温降到正常，临床症状也减轻，但脉象仍浮数，说明外感未解，就应该“舍证从脉”，继续解表。又如发热性出血病人，出血已止，但脉仍滑数或弦数，说明血分热来除迫血妄行；可能再次出血，也应该“舍证从脉”，清除血分热，以免再出血。
伸舌 伸舌 指舌伸出口外舐唇的现象。可能因为津液不足，口唇干燥，用舌舐以使之湿润。也可能是小儿的不良习惯。无特殊意义。
身 身 ①躯干。引申为“身躯的全体”。引申为生命。②自身。引申为“亲自”。
身不仁 身不仁 不仁，即麻木。指皮肤有感觉障碍。
身热 身热 证名。见《内经·阴阳应象大论》等篇。指全身发热。
身热不扬 身热不扬 用手触及患者皮肤，初扪不太热，稍久即觉灼手。多因湿热互结，热伏于湿内，湿遏于热外，热不易外泄所致。
身瘦不孕 身瘦不孕 不孕证之一。出《傅青主女科》。瘦弱之人，性躁多火，经血不足，阴虚火旺，冲任、胞宫失于濡润，精不得养而致不孕。
身嗣动 身嗣动 身体肌肉掣动。
身体烦痛 身体烦痛 指全身或多处肌肉关节的钝性疼痛、沉困和不适。
身痒 身痒 证名。皮肤发痒，游走不定；或起有风热皮疹，全身奇痒难忍。即皮肤瘙痒症。中医认为系皮肤腠理不密，风邪侵入肌肤而成。
身重 身重 证名。出《素问·评热病论》等篇。指肢体沉重，活动不灵便等症。多为脾肾阳虚，水湿滞留所致。
沈 沈 ①月经停止。②痔。
沈金鳌(1717～1776) 沈金鳌(1717～1776) 清代医学家。字芊绿，晚号尊生老人，江苏无锡人。举人。工于诗文，一生好学。四十岁以前，专志于儒书，四十岁以后，专攻医学，成了著名的医生。其著作总称为《沈氏尊生书》，其中包括《脉象统类》1卷；《诸脉主病诗》1卷、《杂病源流犀烛》30卷、《伤寒论纲目》18卷、《妇科玉尺(册)》6卷、《幼科释谜》6卷、《要药分剂》，0卷。共7种，计?2卷。其中以《杂病源流犀烛》为主。对医理、诊法、内、儿、妇各科临床证治均有记述，重视气功疗法，为其特点。《杂病源流犀烛》共分6门，即脏腑门、奇经八脉门、六淫门、内伤外感门、面部门、身形门。其中脏腑门又按肺、大肠、胃、脾、心、小肠等所属次序分为12项。每项之下，再分述各病．每病先论源流，为正文，是作者自撰，有引古论之处，均标明书目。正文之后，附以脉法，大多是引述前人的说法；再次是引前人有关导引、气功等论述．分类简单扼要，眉目清楚而有顺序。不论在见解和写作方法上，都有独到之处，但也有主观臆测的地方。
沈括(1031～1095) 沈括(1031～1095) 宋代著名科学家。字存中，钱塘(今浙汀杭州)人．仁宗嘉枯末年进士，官至翰林学士。通天文、历法、物理、数学、考古、地质等，知识广博，著有《梦溪笔谈》一书传世。本书影响很大，遍及国外。在医学方面也有造诣，注重实践，反对泥古，撰有《良方》一书。原书已佚。今传世部分，由后人收集在《苏沈良方》中。
沈沈 沈沈 连绵词，形容昏的样子。
沈天 沈天 连绵词，分不清的样子．
沈之问 沈之问 明代医学家。他的主要贡献是肯定了麻风是一种传染病．这与他们家中祖孙三代致力于麻风的研究和治疗很有关系。他祖父沈怡梅曾在福建、河北等地收集了不少关于麻风病治疗的秘方．后又经他父亲沈艾轩加以补充．他本人又遍历各地，收集到不少有效方剂；并结合自己多年的临床经验，编成《解围元薮》一书。本书为我国最旱而比较全面的麻风病学专著，对麻风病的诊治有一定贡献．
审苗窍 审苗窍 望诊内容之一。苗窍，指能反映内脏某些变化的体表器官。审苗窍即观察这些体表器官的证候，以测知内脏情况的诊断方法．根据脏象学说，心的苗窍为舌，’肺的苗窍为鼻，肝的苗窍为眼，脾的苗窍为口唇，肾的苗窍为耳。如心火上炎则表现为舌的糜烂，鼻翼搧动表示肺有病，肝胆的湿热可出现巩膜黄染，胃火盛出现口唇泡疹，肾虚则出现耳鸣等。
审平 审平 运气术语。审意为清肃；平，平顺。审平，意为清肃平顺。是对金运平气的年份，收气正常的一种形容。见《素问．五常政大论》。
审视瑶函 审视瑶函 书名。清·傅允科(仁宇)撰，6卷，刊于1644年，为眼科学专著。1～2卷为总论3～6卷为各论。定眼科为108证，分门别类，每粪之前冠以运气之说，然后分述诸证。并有医案、图说、歌括之类。此书影响较大，为一般、医家所重视。
肾 肾 ①五脏之一。肾是藏精之所。它的功能表现为元气。生命的发生、发育到成熟、衰老的整个过程都受肾的主宰，故称先天之本。肾对脑、髓、骨、齿、发、耳有特殊的滋养作用。这几方面的病多从肾着手治疗。肾与呼吸系统也有关系，即所谓主“纳气”。肾与脾协同调节水液代谢和排泄。概而言之，肾的功能是多方面的，包括泌尿、生殖、内分泌、中枢神经、呼吸等系统的一些重要功能。②推拿部位名。
肾，其华在发 肾，其华在发 头发的生机来源于肾，头发的营养来源于血。青年时期肾气旺盛，头发乌黑润泽，光亮茂密。到了老年，肾气渐衰和肝肾阴虚，头发花白或全白，枯槁易脱，肾为头发先天之生机，人不能抗拒；血为后天之供给，可以人为调节。二者对头发的生长，有相辅相成，互为补充的作用。
肾痹 肾痹 五脏痹的一种。表现为关节变形，躯体佝偻，驼背，难以直立行走。多因骨痹日久，又感邪气所致。
肾病 肾病 古病名。出自《素问》。无特指性。泛指作为五脏之肾发生的各种病证。
肾不纳气 肾不纳气 肾气虚不能摄纳肺气所出现的一组呼吸困难证候群。主要表现为气短。气喘、动则喘甚而汗出、呼多吸少，甚则面肿、腿肿，脉细或虚浮无根等。
肾藏精 肾藏精 出自《素问·六节藏象论》等。肾是一个藏精的器官。精有先天、后天之分。①先天之精。指肾具有生殖能力和支配人体发育、生长和维持生命活动的基本物质，②后天之精。由脾胃获得。它来源于食物，经胃的受纳、消化，小肠的泌别清浊和脾的运化以贮藏于肾和其它器官，以维持人的生命活动．
肾藏志 肾藏志 志，为古“誌”，有记忆的意思。古人认为肾主骨，骨生髓，脑为髓海，故肾气虚弱容易产生健忘等症状。故治疗时多应从肾着手。
肾虫病 肾虫病 即蛲虫病。见《普济本事方·诸虫飞尸鬼疰》。
肾喘 肾喘 肾不化水，水上干于肺所致之喘。即伴有水肿的气急喘逆。
肾恶燥 肾恶燥 出自《素问·宣明五气论》。由肾为水脏、肾主水之说引申而来。即阴津受伤引起肾精耗损，骨髓枯竭．
肾风 肾风 出自《素问》。①冬季受风于肾脏，称肾风。多见出汗、恶风、面部浮肿、脊背痛、不能直腰、腰活动障碍、皮肤发黑色等。②面部浮肿、食欲不振、身不疼痛而不能言语者，也称肾风。总而言之，肾风者，以面部浮肿为其共同表现。
肾肝下虚痿 肾肝下虚痿 由房劳过度、久病体虚、肝肾阴亏筋骨失养所致。表现为腰膝酸软，全身痿软无力，眩晕、耳鸣、遗精等。
肾汗 肾汗 勇而劳力所出之汗。
肾合膀胱 肾合膀胱 出自《灵枢·本输》。肾与膀胱有经络相连，互为表里，关系密切。膀胱的作用受肾的支配。肾能促进膀胱气化津液，管理膀胱的开合，以约束尿液。肾气充足，固摄有力，膀胱开合有度，尿液排泄正常。肾气不足，失去固摄与开合能力，可出现小便失禁、遗尿、多尿等症。
